name,carry-on compliance,Aeroflot,AeroMexico,Air Canada,Air China,Air France,Air New Zealand,Air Transat,AirAsia,Alaska Airlines,American Airlines,ANA,Asiana Airlines,Austrian Airlines,British Airways,Cathay Pacific,China Airlines,China Eastern,China Southern,Delta,easyJet,Emirates,Etihad Airways,Eva Airways,Fiji Airways,Frontier Airlines,Hainan Airlines,Hawaiian,Iberia,Icelandair,Indigo,Japan Airlines,Jet2.com,jetBlue Airways,Jetstar,Juneyao Airlines,KLM,Korean Air,LATAM Airlines,Lufthansa,Qantas,Qatar Airways,Ryanair,SAUDIA,Shenzhen Airlines,Singapore Airlines,Southwest Airlines,Spirit Airlines,Swiss,Thai Airways,Turkish Airlines,United Airlines,Virgin Atlantic,Vueling,WestJet,Wizz Air,Xiamen Airlines,,,,,,,,
Arc'teryx Mantis 26,41%,✔,✔,✗,✗,✔,✔,✗,✗,✗,✗,✔,✗,✗,✔,✗,✗,✔,✗,✗,✗,✗,✔,✗,✗,✔,✗,✗,✔,✗,✔,✔,✔,✗,✗,✗,✔,✗,✔,✗,✗,✔,✗,✔,✔,✔,✔,✔,✗,✔,✗,✗,✗,✗,✗,✗,✔,,,,,,,,
Arcido Akra,86%,✔,✔,✔,✔,✔,✔,✗,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✗,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✗,✗,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✗,✗,✗,✗,,,,,,,,
Arktype Dashpack II,93%,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✗,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✗,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✗,✔,✗,✔,,,,,,,,
Attitude Supply ADT1 Backpack,7%,✗,✗,✗,✗,✗,✔,✗,✗,✗,✗,✗,✗,✗,✗,✗,✗,✗,✗,✗,✗,✗,✗,✗,✗,✗,✗,✗,✗,✗,✗,✗,✗,✗,✗,✗,✗,✗,✗,✗,✗,✗,✗,✔,✔,✔,✗,✗,✗,✗,✗,✗,✗,✗,✗,✗,✗,,,,,,,,
Attitude Supply ADT2 Backpack,95%,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✗,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✗,✔,✗,✔,,,,,,,,
Attitude Supply ATD1,7%,✗,✗,✗,✗,✗,✔,✗,✗,✗,✗,✗,✗,✗,✗,✗,✗,✗,✗,✗,✗,✗,✗,✗,✗,✗,✗,✗,✗,✗,✗,✗,✗,✗,✗,✗,✗,✗,✗,✗,✗,✗,✗,✔,✔,✔,✗,✗,✗,✗,✗,✗,✗,✗,✗,✗,✗,,,,,,,,
Bellroy Lite Travel Pack 30L,73%,✔,✔,✔,✔,✗,✔,✔,✗,✗,✔,✔,✔,✔,✔,✔,✔,✔,✔,✗,✗,✔,✔,✔,✔,✔,✔,✗,✔,✔,✗,✔,✔,✗,✔,✔,✗,✔,✗,✔,✔,✔,✗,✔,✔,✔,✔,✔,✔,✔,✔,✗,✔,✗,✔,✗,✗,,,,,,,,
Bellroy Transit Backpack,70%,✔,✔,✔,✔,✗,✔,✗,✗,✗,✔,✔,✔,✔,✔,✔,✔,✔,✔,✗,✗,✔,✔,✔,✔,✔,✔,✗,✔,✔,✗,✔,✔,✗,✔,✔,✗,✔,✗,✔,✔,✗,✗,✔,✔,✔,✔,✔,✔,✔,✔,✗,✔,✗,✔,✗,✗,,,,,,,,
Bellroy Transit Backpack Plus,25%,✔,✔,✗,✗,✗,✔,✗,✗,✗,✗,✔,✗,✗,✔,✗,✗,✔,✗,✗,✗,✗,✔,✗,✗,✔,✗,✗,✔,✗,✗,✔,✔,✗,✗,✗,✗,✗,✗,✗,✗,✗,✗,✗,✗,✗,✔,✔,✗,✔,✗,✗,✗,✗,✗,✗,✗,,,,,,,,
Bellroy Venture Ready Pack 26L,93%,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✗,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✗,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✗,✔,✗,✔,,,,,,,,
Bellroy Venture Travel Pack 26L,86%,✔,✔,✔,✔,✔,✔,✗,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✗,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✗,✗,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✗,✗,✗,✗,,,,,,,,
Black Ember Citadel 18,95%,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✗,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✗,✔,✗,✔,,,,,,,,
Black Ember Citadel R3 25,93%,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✗,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✗,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✗,✔,✗,✔,,,,,,,,
Black Ember Forge Max,93%,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✗,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✗,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✗,✔,✗,✔,,,,,,,,
Boundary Supply Arris Pack,48%,✗,✗,✗,✗,✗,✔,✗,✔,✔,✔,✗,✗,✗,✔,✔,✔,✔,✗,✔,✗,✗,✔,✔,✗,✔,✗,✔,✔,✗,✗,✗,✔,✔,✔,✔,✗,✗,✗,✗,✔,✗,✗,✔,✔,✔,✔,✔,✗,✔,✗,✔,✔,✗,✗,✗,✗,,,,,,,,
Boundary Supply Errant Daypack,93%,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✗,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✗,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✗,✔,✗,✔,,,,,,,,
Boundary Supply Prima,89%,✔,✔,✔,✔,✔,✔,✗,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✗,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✗,✗,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✗,✔,✗,✔,,,,,,,,
Burton Multipath 26L Commuter Pack,89%,✔,✔,✔,✔,✔,✔,✗,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✗,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✗,✗,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✗,✔,✗,✔,,,,,,,,
Cabin Zero Adv Backpack 32L,93%,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✗,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✗,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✗,✔,✗,✔,,,,,,,,
Cabin Zero Adv Backpack 42L,86%,✔,✔,✔,✔,✔,✔,✗,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✗,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✗,✗,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✗,✗,✗,✗,,,,,,,,
Cabin Zero Adv Pro Backpack 32L,93%,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✗,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✗,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✗,✔,✗,✔,,,,,,,,
Cabin Zero Adv Pro Backpack 42L,86%,✔,✔,✔,✔,✔,✔,✗,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✗,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✗,✗,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✗,✗,✗,✗,,,,,,,,
Cabin Zero Classic Backpack 28L,98%,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✗,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,,,,,,,,
Cabin Zero Classic Plus 42L,86%,✔,✔,✔,✔,✔,✔,✗,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✗,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✗,✗,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✗,✗,✗,✗,,,,,,,,
Cabin Zero Classsic Pro 32L,93%,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✗,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✗,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✗,✔,✗,✔,,,,,,,,
